COMMON NAME,FAMILY,ENDEMIC,SIZE RANGE,SA DISTRIBUTION,HABITAT,DEPTH RANGE,MAJOR FISHERIES,IUCN STATUS,CITES,MLRA,COMPILER,REVIEWER,REPRODUCTIVE MODE,DURATION OF REPRO CYCLE,MATING SEASON,GESTATION,LITTER SIZE,PUPPING/NURSERY GROUND,LENGTH AT BIRTH,LENGTH AT MATURITY,AGE AT MATURITY,MAXIMUM LENGTH,GENERATION LENGTH,GENUS,SPECIES,SPECIES_SCIENTIFIC
Kitefin shark,Dalatiidae,"No, Mozambique and patchy global distribution",30–182 cm TL,E coast: Mozambique border to Algoa Bay,Demersal to mesopelagic,40–1800 m; commonly > 200 m,Deep-water trawl,Vulnerable 2017,Not listed,Production of squalene onboard vessels prohibited in offshore trawl fishery; daily bag limit of one individual in recreational fishery,G Cliff,S Fennessy and C da Silva,Viviparity with a yolk-sac placenta,Unknown,Unknown,Unknown,"3–16, average 6–8",Autumn-summer (Mediterranean),30–40 cm,F: 120 cm; M: 100 cm,NA,182 cm,"29 years, inferred from Deania",Dalatias,licha,Dalatias licha
Tawny nurse shark,Ginglymostomatidae,"No, Indo-Pacific",60–320 cm TL,E coast: northern KZN,Shallow inshore waters,0–30 m,None in South Africa,Vulnerable 2020,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,A Flam,Oophagous viviparity,Unknown,Unknown,6 months (captive animals in Saudi Arabia),1-4 (Japan); up to 32 (Australia),Unknown,60 cm (Japan),F: 230 cm; M: 225 cm,NA,320 cm,Unknown,Nebrius,ferrugineus,Nebrius ferrugineus
Shorttail nurse shark,Ginglymostomatidae,"No, W Indian Ocean",?–75 cm TL,E coast: extreme northern KZN,Shallow inshore waters,0–70 m,None in South Africa,Critically Endangered 2018,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,R Bennett,Oviparity,Unknown,Unknown,Unknown,Unknown,Unknown,"Unconfirmed, possibly <14 cm",F: 55 cm; M: 59 cm,NA,75 cm,Possibly 10 years (inferred from Ginglymostoma cirratum),Pseudoginglymostoma,brevicaudatum,Pseudoginglymostoma brevicaudatum
Zebra shark/leopard shark,Stegastomatidae,"No, Indo-Pacific",20–250 cm TL,"E, S coasts: Mozambique border to Cape St Francis",Shallow inshore waters,0–60 m,None in South Africa,Endangered 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,A Flam,Oviparity,Unknown,Unknown,Unknown,Unknown,Unknown,20–36 cm,F: 170 cm; M: 147-183 cm,NA,"250 cm, reports of 354 cm may be exaggerated",17 years,Stegostoma,tigrinum,Stegostoma tigrinum
Whale shark,Rhincodontidae,No,60–2000 cm,"E, S, W coasts: Mozambique border to Lamberts Bay",Pelagic in coastal and oceanic waters,"0–2000 m, but generally coastal in South Africa",None,Endangered 2016,Appendix II,No targeted catch in any fishery,G Cliff,CEM Prebble,Aplacental viviparity,Unknown,Unknown,Unknown,304 from a single litter (Taiwan),Unknown,60–65 cm,F: ±900; M: 920cm,NA,NA,Unknown but assumed to be 25 years,Rhincodon,typus,Rhincodon typus
Spotted raggedtooth shark,Odontaspididae,"No, widely distributed in the Atlantic and Indo-West Pacific",100–325 cm TL,"E, S, W coasts, but most common on E and S coasts",On or near the bottom of rocky reefs,"0–230 m, commonly 10–40 m","KZN bather protection programme, commercial and recreational linefisheries",Critically Endangered 2020,Nil,"No retention in commercial and traditional linefisheries, demersal shark longline or beach seine net fisheries; daily bag limit of one individual in recreational fishery",G Cliff,ML Dicken,Viviparity with oophagy and adelophagy,"Two years in South Africa, but both annual and biennial elsewhere",October-November,10 months,"Only 2 per litter, due to intra-uterine cannibalism",Inshore reefs in the southern part of the east coast and on the south coast,100 cm,F: 224 cm; M: 209 cm,NA,F: 326 cm; M: 266 cm,20 years,Carcharias,taurus,Carcharias taurus
Smalltooth sandtiger shark,Odontaspididae,"No, circumglobal but very patchy distribution",100–450 cm TL,"E coast: Mozambique border to Port Shepstone, possibly further south to include Wild Coast","On or near the bottom of rocky reefs, drop-offs and sand bottoms, also epipelaagic",10–880 m,None listed in South Africa,Vulnerable 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,ML Dicken,Viviparity with oophagy,Unknown,Unknown,Unknown,Unknown,Deeper water on the continental slope of 330-600 m,100 cm (based on neonates caught off Durban),F: 300–350 cm; M: 200–250 cm,NA,F: 450 cm; M: 345 cm,"Assumed to be 20 years, based on Carcharias taurus",Odontaspis,ferox,Odontaspis ferox
Pelagic thresher shark,Alopiidae,"No, tropical waters of the entire Indo-Pacific Oceans",130–428 cm TL,Part of E coast: KZN only,"Pelagic in oceanic waters, occasionally coastal",0–150 m,Largely pelagic longline and small pelagic fisheries,Endangered 2018,Appendix II (2017),No retention in any longline fisheries; daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Viviparity with oophagy,Possibly 12 months,Aseasonal (Taiwan),< 12 months (Taiwan),2 (167 litters: Taiwan),Unknown but aseasonal (Taiwan),130–190 cm,F: 282–292 cm; M: 267–276 cm,NA,F: 383 cm; M: 428 cm,18.5 years,Alopias,pelagicus,Alopias pelagicus
Bigeye thresher shark,Alopiidae,"No, circumglobal in tropical and warm-temperate waters",100–460 cm TL,"E, S coasts: entire KZN to Cape Peninsula",Pelagic in oceanic and coastal waters,"0–500 m, but mostly below 100 m",Largely pelagic longline and small pelagic fisheries,Vulnerable 2018,Appendix II (2017),No retention in any longline fisheries; daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Viviparity with oophagy,Possibly 12 months,Unknown,12 months,"Usually 2, occasionally 3–4",Weakly seasonal,100–140 cm,F: 300–360 cm; M: 270–300 cm,NA,F: 460 cm; M: 420 cm,18.5 years,Alopias,superciliosus,Alopias superciliosus
Common thresher shark,Alopiidae,"No, circumglobal in tropical and temperate waters",115–610 cm TL,"E, S, W coasts: entire South African coast",Pelagic in coastal and oceanic waters,0–370 m,"Largely pelagic longlines and commercial linefishery, with some catch in gill and beach seine net, small pelagic and demersal trawl fisheries",Vulnerable 2018,Appendix II (2017),No retention in any longline fisheries; daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Viviparity with oophagy,Unknown locally; annual or biannual elsewhere,Summer (California),9 months (California),"2–4, maximum 6",Spring (California),115–160 cm,F: 260–465 cm; M: 260–420 cm,NA,"At least 573 cm, possibly 610 cm",25.5 years,Alopias,vulpinus,Alopias vulpinus
Basking shark,Cetorhinidae,"No, circumglobal in temperate waters",150 –1000+ cm TL,"E, S and W coasts: Salt Rock to Orange River",Pelagic in coastal and oceanic waters,0–1200 m,None documented in South Africa,Endangered 2018,Appendix II (2019),No targeted catch in any fishery,G Cliff,AV Towner,Viviparity with oophagy,Possibly 2–3 years,Unknown,"Unknown, but possibly 3.5 years",A single litter of 6,Spring (United Kingdom),150–170 cm,F: 800–980 cm; M: 400–700 cm,NA,F: 980 cm; M: 850 cm,34 years,Cetorhinus,maximus,Cetorhinus maximus
White shark,Lamnidae,"No, circumglobal in temperate, subtropical and tropical waters",120–600 cm TL,"E, S, W coasts: entire South African coast",Pelagic in coastal and oceanic waters,0–1300 m,"KZN bather protection programme, recreational linefishery and possible bycatch in various commercial fisheries",Vulnerable 2018,Appendix II (2004),"Full protection, no catch allowed",G Cliff,A Kock,Viviparity with oophagy,Possibly 3 years,Unknown,18 months,2–17,"Unknown locally, possibly Algoa Bay",120–150 cm,F: 450–500 cm; M: 360–380 cm,NA,F: 600 cm; M: 520 cm,53 years,Carcharodon,carcharias,Carcharodon carcharias
Shortfin mako shark,Lamnidae,"No, circumglobal in tropical and warm-temperate waters",60–396 cm TL,"E, S, W coasts: entire South African coast","Pelagic in oceanic waters, occasionally coastal",0–500 m,"Largely pelagic longlines, with some catch in small pelagic fishery, KZN bather protection programme and line fisheries",Endangered 2018,Appendix II (2019) but South Africa has an active reservation,Targeting in the pelagic longline fishery is discouraged by means of punitive observer requirements but the landing of bycatch is still permitted; daily bag limit of one individual in recreational fishery,G Cliff,GL Jordaan and D Parker,Viviparity with oophagy,3 years,Autumn and early winter,15–18 months,"Usually 4–16, mean 12, maximum 25",Late winter to early spring,60–70 cm,F: 265–280 cm; M: 195–205 cm,NA,F: 396 cm; M: 296 cm,24–25 years,Isurus,oxyrinchus,Isurus oxyrinchus
Longfin mako shark,Lamnidae,"No, circumglobal in tropical and warm-temperate waters",100–430 cm TL,S coast: only Cape Agulhas,"Pelagic in oceanic waters, occasionally coastal","Midwater to 700 m, occasionally down to 1700 m",Possibly pelagic longlines and small pelagic fisheries,Endangered 2018,Appendix II (2019) but South Africa has an active reservation,Targeting in the pelagic longline fishery is discouraged by means of punitive observer requirements but the landing of bycatch is still permited,G Cliff,G Jordaan,Viviparity with oophagy,Unknown,Unknown,Unknown,"Usually 2, maximum 4",Unknown,100–120 cm,F: 245 cm; M: 190–228 cm,NA,430 cm,"25 years, based on I. oxyrinchus",Isurus,paucus,Isurus paucus
Porbeagle,Lamnidae,"No, circumglobal in temperate waters",67–237 cm TL (SW Pacific),"S, W coasts: Knysna to southwest off Cape Town",Pelagic in oceanic waters; occasionally coastal,"0-200 m, but occasionally 350-700 m in open ocean",Pelagic longlines and small pelagic fisheries,Vulnerable 2018,Appendix II (2013),No retention in any longline fisheries,G Cliff,RH Bennett,Viviparity with oophagy,Possibly 1 year,Possibly spring,8–9 months (SW Pacific),4 (range 1–5) (SW Pacific),Winter,67-77 cm (SW Pacific),F: 193-205 cm; M: 160-170 cm (SW Pacific),NA,F: 237 cm; M: 232 cm (SW Pacific),38.3 yr (SW Pacific),Lamna,nasus,Lamna nasus
African sawtail catshark,Pentanchidae,No,10–43 cm TL,W coast: immediately south of Orange River mouth,Demersal,200-720 m,None listed but suspected in trawl fishery,Vulnerable 2020,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,DA Ebert,Aplacental viviparity,Unknown,Unknown,Unknown,6-13 (outside South Africa),Unknown,10–12 cm (outside South Africa),F: 30 cm; M: 30 cm (outside South Africa),NA,F: 43 cm; M: 36 cm (outside South Africa),15 years (Galeus sauteri),Galeus,polli,Galeus polli
Tiger catshark,Pentanchidae,Yes,>4–50 cm TL,"E, S coasts: East London to Cape Point",Demersal on sand bottoms in coastal and shelf waters,"0–170 m, but most common in 20–90 m",None listed but suspected in commercial and recreational linefishery,Vulnerable 2019,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,J Escobar-Porras,Oviparity,Unknown,Unknown,Unknown,"6-11, usually 6-9",Unknown,"Unknown, but larger than 4 cm",F: 37 cm; M: 35 cm,NA,50 cm,Unknown,Halaelurus,natalensis,Halaelurus natalensis
Puffadder shyshark,Pentanchidae,Yes,9–60 cm TL,"E, S, W coasts: Algoa Bay to Langebaan",Demersal on sand bottoms and rocky reefs in coastal and shelf waters,"0–130 m, but most common down to 90 m",Demersal trawl fishery; commercial and recreational linefishery,Endangered 2019,Not listed,No take in demersal shark longline fishery; daily bag limit of one individual in recreational fishery,G Cliff,J Escobar-Porras,Oviparity,"Unknown, possibly annual","Unknown, but aseasonal",Possibly 6–10 months; aseasonal,2,Where the animals occur,9 cm,35 cm (False Bay); 45 cm (Eastern Cape),NA,48 cm (west of Cape Agulhas); 60 cm (east),9.33 years (DAFF); 15.5 (Dainty 2002); 20 (Pollom et al. 2020b),Haploblepharus,edwardsii,Haploblepharus edwardsii
Brown shyshark,Pentanchidae,Yes,At least 70 cm TL,"E, S coasts: southern KZN to Cape Agulhas",Demersal on rocky reef areas and sand bottoms,0–35 m,Trawl and recreational line fisheries,Vulnerable 2019,Not listed,No take in demersal shark longline fishery; daily bag limit of one individual in recreational fishery,G Cliff,J Escobar-Porras,Oviparity,Unknown,Unknown,Unknown,Only 2 egg cases,Unknown,Unknown,35 -55 cm for both sexes,NA,73 cm,Unknown,Haploblepharus,fuscus,Haploblepharus fuscus
"Natal shyshark, Eastern shyshark",Pentanchidae,Yes,10–50 cm TL,"E, S coasts: central KZN to Mossel Bay",Demersal on rocky reef areas and sand bottoms,0–30 m,Trawl and linefisheries,Vulnerable 2018,Not listed,No take in demersal shark longline fishery; daily bag limit of one individual in recreational fishery,G Cliff,J Escobar-Porras,Oviparity,Unknown,Unknown,Unknown,Possibly only 2 egg cases,Unknown,10 cm,F: 48 cm; M: 50 cm,NA,50 cm,Unknown,Haploblepharus,kistnasamyi,Haploblepharus kistnasamyi
Honeycomb Izak catshark/Natal Izak catshark,Pentanchidae,No; southern Mozambique,?–52 cm TL,E coast: Mozambique border to Durban,Demersal,200–1000 m,Trawl,Endangered 2019,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,J Escobar-Porras and S Fennessy,Oviparity,Unknown,Unknown,Unknown,Possibly only 2 egg cases,Egg laying is possibly year-round,Unknown,F: 29-42 cm; M: 19-51 cm,NA,F: at least 42 cm; M: at least 51 cm,"15 years, inferred from Galeus sauteri",Holohalaelurus,favus,Holohalaelurus favus
African spotted catshark/Whitespotted Izak catshark,Pentanchidae,No; southern Mozambique and Madagascar,?–34 cm TL,E coast: Mozambique border to Durban,Demersal,220–420 m,Deepwater trawl,Endangered 2019,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,ST Fennessy,Oviparity,Unknown,Unknown,Unknown,Only 2 egg cases,Egg laying is possibly year-round,Unknown,F: at least 24 cm; M: at least 29 cm,NA,F: at least 26 cm; M: at least 34 cm,"10 years, inferred from Galeus sauteri",Holohalaelurus,punctatus,Holohalaelurus punctatus
"Pyjama catshark, pyjama shark, striped catshark",Scyliorhinidae,Yes,15–100 cm TL,Some of E and W and entire S coast: East London to Saldanha Bay,"Demersal, primarily on rocky reef areas, including kelp beds",0–100 m,"Trawl fishery, commercial and recreational line fisheries, rock lobster, beach seine and gill net",Least Concern 2019,Not listed,No retention in demersal longline fishery or commercial and traditional linefisheries; daily bag limit of one individual in recreational fishery,G Cliff,RGA Watson,Oviparity,Unknown,No seasonal pattern,Approx 1 year,Only 2 egg cases,"No seasonal pattern, assumed to occur throughout its range",14–19 cm,F: 85 cm; M: 86 cm,NA,100 cm,21 years,Poroderma,africanum,Poroderma africanum
Leopard catshark,Scyliorhinidae,Yes,11–84 cm TL,"E, S, W coasts: central KZN to Saldanha",Demersal on rocky reef areas and sand bottoms in coastal waters,"0–274 m, but most common shallower than 50 m",Trawl and recreational line fisheries,Least Concern 2019,Nil,No retention in demersal longline fishery or commercial and traditional linefisheries; daily bag limit of one individual in recreational fishery,G Cliff,RGA Watson,Oviparity,Unknown,No seasonal pattern,About 9 months,Only 2 egg cases,"No seasonal pattern, assumed to occur through the range",9-11 cm,F: 59 cm; M: 59 cm,NA,84 cm,Unknown,Poroderma,pantherinum,Poroderma pantherinum
"Soupfin shark, tope",Triakidae,"No, occurs in Atlantic, Indian and Pacific Oceans",40–165 cm TL,Part of E coast; entire S and W coasts: East London to Namibian border,Bentho-pelagic in shelf and upper slope waters,"0–830 m, but mostly shallower than 200 m","Demersal shark longline, demersal trawl, commercial linefishery",Critically Endangered 2020,Not Listed,Slot limits in the demersal longline fishery; daily bag limit of one individual in recreational fishery,G Cliff,ME McCord,Viviparity with yolk-sac placenta,"1–3 years, varies regionally",Spring and early summer (October-January),12 months,"6–52, generally 20–35",Spring (October-November) inshore waters,"26–40 cm, varies regionally","F: 118-185 cm; M: 107-170 cm, varies regionally",NA,"200 cm, varies regionally",26.3 years,Galeorhinus,galeus,Galeorhinus galeus
"Common smoothhound, Blackspotted smoothhound",Triakidae,"No, Western Atlantic and Mediterranean Sea",40–173 cm,"E, S and W coasts: Durban to Namibian border",Demersal on sand bottoms and rocky reef areas in coastal waters,"0-50 m, but as deep as 350 m","Demersal shark longline, demersal trawl, commercial linefishery",Endangered 2020,Not listed,Slot limit of 70–130 cm in demersal longline and commercial line fisheries; daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Placental viviparity,Possibly 2 years,Spring and early summer (October-January),9-11 months,"2-23, mean 11.5",Spring (October-November) inshore waters,40 cm,F: 125 cm; M: 105 cm,NA,173 cm,10.5 years,Mustelus,mustelus,Mustelus mustelus
Flapnose houndshark,Triakidae,Yes,35–137 cm TL,E coast: Richards Bay to East London,Demersal on shallow coastal reefs,0–50 m,Recreational shore angling; boat angling,Vulnerable 2018,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,BQ Mann,Viviparity with yolk-sac placenta,Possibly 2 years,Possibly early summer,Appears to be 9–10 months,2–4; mean 2.6 from 8 litters,Possibly spring; location unknown,35 cm,F: 80 cm; M: 70 cm,NA,F: 137 cm; M: 113 cm,Unknown,Scylliogaleus,quecketti,Scylliogaleus quecketti
Snaggletooth shark,Hemigaleidae,"No, Indo-west Pacific Ocean",45–240 cm TL,E coast: entire KZN,Demersal on sand bottoms and rocky reef areas in coastal waters,0–130 m,None in South Africa,Vulnerable 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,RH Bennett,Placental viviparity,2 years,June (Australia),7–8 months (Australia),"2–11, mean 6 (Australia)",April (Australia),45–50 cm (Australia),F: 120 cm; M: 110 cm (Australia),NA,F: 240 cm; M: 180 cm (Australia),9 years (Australia),Hemipristis,elongata,Hemipristis elongata
Whitetip/whitefin weasel shark,Hemigaleidae,"No, Mozambique and W Indian Ocean",45–240 cm TL,E coast: Mozambique border to Sodwana Bay,Demersal on sand bottoms and rocky reef areas in coastal waters,0–20 m,None in South Africa,Vulnerable 2019,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,RH Bennett,Placental viviparity,Unknown,Unknown,Unknown,2 (n=1),Unknown,Unknown: >22 cm,F: at least 96 cm (n=1),NA,Unknown,"<9 years, based on Australian Hemipristis elongata",Paragaleus,leucolomatus,Paragaleus leucolomatus
Silvertip shark,Carcharhinidae,"No, Indo-Pacific",70–300 cm TL,E coast: Mozambique border to St. Lucia,"Pelagic, shelf and coastal, not oceanic",0–800 m,Not listed in South African fisheries,Vulnerable 2015,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,RH Bennett,Placental viviparity,2 years,Summer: December and January,12 months,"1–11, mean 6 from 25 litters",Summer: December and January,70–80 cm,F: 190–210 cm; M: 170–180 cm,NA,300 cm,Assumed to be about 22 years,Carcharhinus,albimarginatus,Carcharhinus albimarginatus
Grey reef shark,Carcharhinidae,"No, Indo-Pacific","65–180 cm TL, possibly 255 cm",E coast: Mozambique border to Sodwana Bay,Drop-offs around coral reefs,"0–280 m, usually < 100 m",None in South Africa,Endangered 2020,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,JSE Lea,Placental viviparity,2 years,July–September (SW Indian Ocean),About 1 year (SW Indian Ocean),1–4; mean 2.5 (n=95) (SW Indian Ocean),July–September (SW Indian Ocean),65–75 cm (SW Indian Ocean),F: 120 cm; M: 110-120 cm (SW Indian Ocean),NA,"255 cm, but rarely >200 cm",14.5 years (W Pacific),Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos
Pigeye/Java shark,Carcharhinidae,No,75–280 cm TL,E coast: Mozambique border to Algoa Bay,Benthopelagic close to sand bottoms and in turbid water,0–60 m,KZN bather protection nets and KZN inshore prawn trawl fishery,Vulnerable 2020,Not listed,Daily bag limit of one in recreational fishery,G Cliff,ST Fennessy,Placental viviparity,2 years,Summer,12 months,Mean of 5; maximum 7,"Unknown, north of central KZN",75 cm,"50% maturity F: 210 cm, M: 205 cm",NA,F: 235 cm; M: 225 cm,21.5 years (Australia),Carcharhinus,amboinensis,Carcharhinus amboinensis
Copper shark/bronze whaler,Carcharhinidae,"No, patchy global distribution in warm temperate and subtropical waters",60–313 cm TL,"E, S, W coasts: Central KZN to Orange River mouth",Pelagic in coastal waters over sand bottoms and rocky reef areas,0–150 m,"Commercial linefishery, pelagic and demersal longline fisheries, gill and beach seine net fisheries, small pelagic fishery, inshore trawl fishery, recreational linefishery, and KZN bather safety programme",Vulnerable 2020,Not listed,Slot limit of 70–130 cm in demersal shark longline fishery; daily bag limit of one in recreational fishery,G Cliff,T Rogers,Placental viviparity,Likely 2 years,"Unknown location, soon after June–July",2 years,Median of 15 (range: 8–20) n=46,"Prolonged pupping, mainly October and November: south coast and southern part of east coast",65-80 cm,"50% maturity F: 285 cm, M: 243 cm",NA,F: 313 cm; M: 302 cm,23.5 years,Carcharhinus,brachyurus,Carcharhinus brachyurus
