"CODE","YEAR","MONTH","DAY","DUMMY","DATE","DIVELOCATION","BROAD LOCATION","DAYS","NO OF DIVES","VIZ","CURRENT","WIND","WEATHER","TEMP","SEA COND.","DIVER NUMBERS","REBREATHER","COUNT","LATITUDE","LONGITUDE","SPECIES_COMMON","ABUNDANCE","SPECIES_SCIENTIFIC","DATASET","OWNER"
"D0021",2003,4,20,NA,"04/20","SOUTH","Protea_pinnacles",1,1,NA,NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"SANDSHARK",30,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0026",2003,4,23,NA,"04/23","SOUTH","Protea_pinnacles",1,1,"15m",NA,"10-15SW",NA,NA,NA,"1",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",2,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0026",2003,4,23,NA,"04/23","SOUTH","Protea_pinnacles",1,1,"15m",NA,"10-15SW",NA,NA,NA,"1",NA,91,-30.8434,30.4771,"SANDSHARK",4,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0033",2003,4,29,NA,"04/29","SOUTH","Protea_pinnacles",1,1,"10-15m",NA,"15NE-10SW",NA,"19-24",NA,"2",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",3,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0033",2003,4,29,NA,"04/29","SOUTH","Protea_pinnacles",1,1,"10-15m",NA,"15NE-10SW",NA,"19-24",NA,"2",NA,91,-30.8434,30.4771,"SANDSHARK",1,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0035",2003,5,1,NA,"05/01","SOUTH","Protea_pinnacles",1,1,"20-25m",NA,"25SW",NA,"24",NA,"2",NA,91,-30.8434,30.4771,"SANDSHARK",2,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0041",2003,5,6,NA,"05/06","SOUTH","Protea_pinnacles",1,1,"10-15m","1",NA,NA,"24",NA,"1",NA,91,-30.8434,30.4771,"SHH",300,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0041",2003,5,6,NA,"05/06","SOUTH","Protea_pinnacles",1,1,"10-15m","1",NA,NA,"24",NA,"1",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0041",2003,5,6,NA,"05/06","SOUTH","Protea_pinnacles",1,1,"10-15m","1",NA,NA,"24",NA,"1",NA,91,-30.8434,30.4771,"SANDSHARK",6,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0042",2003,5,7,NA,"05/07","SOUTH","Protea_pinnacles",1,1,"10-15m","1","15NE",NA,"24",NA,"2",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0042",2003,5,7,NA,"05/07","SOUTH","Protea_pinnacles",1,1,"10-15m","1","15NE",NA,"24",NA,"2",NA,91,-30.8434,30.4771,"SANDSHARK",20,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0046",2003,5,11,NA,"05/11","SOUTH","Protea_pinnacles",1,1,"7m","1.5",NA,NA,NA,NA,"1",NA,91,-30.8434,30.4771,"SHH",2,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0046",2003,5,11,NA,"05/11","SOUTH","Protea_pinnacles",1,1,"7m","1.5",NA,NA,NA,NA,"1",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",3,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0046",2003,5,11,NA,"05/11","SOUTH","Protea_pinnacles",1,1,"7m","1.5",NA,NA,NA,NA,"1",NA,91,-30.8434,30.4771,"SANDSHARK",25,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0046",2003,5,11,NA,"05/11","SOUTH","Protea_pinnacles",1,1,"7m","1.5",NA,NA,NA,NA,"1",NA,91,-30.8434,30.4771,"BLACKTIP",1,"CARCHARHINUS LIMBATUS","UVC-S","ROLAND"
"D0056",2003,5,21,NA,"05/21","SOUTH","Protea_pinnacles",1,1,NA,NA,NA,NA,"20-24",NA,"2",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0056",2003,5,21,NA,"05/21","SOUTH","Protea_pinnacles",1,1,NA,NA,NA,NA,"20-24",NA,"2",NA,91,-30.8434,30.4771,"RAGGIE",1,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0056",2003,5,21,NA,"05/21","SOUTH","Protea_pinnacles",1,1,NA,NA,NA,NA,"20-24",NA,"2",NA,91,-30.8434,30.4771,"BLACKTIP",1,"CARCHARHINUS LIMBATUS","UVC-S","ROLAND"
"D0056",2003,5,21,NA,"05/21","SOUTH","Protea_pinnacles",1,1,NA,NA,NA,NA,"20-24",NA,"2",NA,91,-30.8434,30.4771,"TIGER",1,"GALEOCERDO CUVIER","UVC-S","ROLAND"
"D0058",2003,5,22,NA,"05/22","NORTH","Protea_pinnacles",1,1,"25m",NA,NA,NA,"21-24",NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",30,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0058",2003,5,22,NA,"05/22","NORTH","Protea_pinnacles",1,1,"25m",NA,NA,NA,"21-24",NA,"1",NA,106,-30.8249,30.4884,"TIGER",1,"GALEOCERDO CUVIER","UVC-S","ROLAND"
"D0065",2003,5,29,NA,"05/29","NORTH","Protea_pinnacles",1,1,"10m",NA,NA,NA,NA,NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",2,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0066",2003,5,30,NA,"05/30","NORTH","Protea_pinnacles",1,1,"25m","0.5","10NE",NA,"24",NA,"2",NA,106,-30.8249,30.4884,"SHH",2,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0066",2003,5,30,NA,"05/30","NORTH","Protea_pinnacles",1,1,"25m","0.5","10NE",NA,"24",NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",4,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0067",2003,5,31,NA,"05/31","NORTH","Protea_pinnacles",1,1,"20m","0.5",NA,NA,"24",NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",1,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0074",2003,6,7,NA,"06/07","SOUTH","Protea_pinnacles",1,1,"25m",NA,"15SW",NA,"24",NA,"1",NA,91,-30.8434,30.4771,"SHH",2,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0074",2003,6,7,NA,"06/07","SOUTH","Protea_pinnacles",1,1,"25m",NA,"15SW",NA,"24",NA,"1",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0074",2003,6,7,NA,"06/07","SOUTH","Protea_pinnacles",1,1,"25m",NA,"15SW",NA,"24",NA,"1",NA,91,-30.8434,30.4771,"COPPERS",1,"CARCHARHINUS BRACHYURUS","UVC-S","ROLAND"
"D0075",2003,6,8,NA,"06/08","NORTH","Protea_pinnacles",1,1,NA,NA,NA,NA,NA,NA,NA,NA,106,-30.8249,30.4884,"RAGGIE",4,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0077",2003,6,9,NA,"06/09","SOUTH","Protea_pinnacles",1,1,"20m",NA,"30-35SW",NA,"23","extremely rough+swells","1",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",3,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0077",2003,6,9,NA,"06/09","SOUTH","Protea_pinnacles",1,1,"20m",NA,"30-35SW",NA,"23","extremely rough+swells","1",NA,91,-30.8434,30.4771,"SANDSHARK",1,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0078",2003,6,10,NA,"06/10","SOUTH","Protea_pinnacles",1,1,"20m",NA,"25SW",NA,"23","extremely rough","1",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",3,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0079",2003,6,11,NA,"06/11","SOUTH","Protea_pinnacles",1,1,"15m",NA,NA,NA,"22",NA,"2",NA,91,-30.8434,30.4771,"SANDSHARK",1,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0081",2003,6,13,NA,"06/13","SOUTH","Protea_pinnacles",1,1,"15m","1.5",NA,NA,NA,NA,"3",NA,91,-30.8434,30.4771,"SHH",2,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0081",2003,6,13,NA,"06/13","SOUTH","Protea_pinnacles",1,1,"15m","1.5",NA,NA,NA,NA,"3",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",3,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0086",2003,6,16,NA,"06/16","SOUTH","Protea_pinnacles",1,1,"15m","1","15NE",NA,NA,NA,"4",NA,91,-30.8434,30.4771,"SHH",2,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0086",2003,6,16,NA,"06/16","SOUTH","Protea_pinnacles",1,1,"15m","1","15NE",NA,NA,NA,"4",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0087",2003,6,18,NA,"06/18","NORTH","Protea_pinnacles",1,1,"20m","1","10NE",NA,NA,NA,"2",NA,106,-30.8249,30.4884,"SHH",1,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0087",2003,6,18,NA,"06/18","NORTH","Protea_pinnacles",1,1,"20m","1","10NE",NA,NA,NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",3,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0087",2003,6,18,NA,"06/18","NORTH","Protea_pinnacles",1,1,"20m","1","10NE",NA,NA,NA,"2",NA,106,-30.8249,30.4884,"BLACKTIP",2,"CARCHARHINUS LIMBATUS","UVC-S","ROLAND"
"D0088",2003,6,19,NA,"06/19","NORTH","Protea_pinnacles",1,1,"20m","1","10-15NE",NA,NA,NA,NA,NA,106,-30.8249,30.4884,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0088",2003,6,19,NA,"06/19","NORTH","Protea_pinnacles",1,1,"20m","1","10-15NE",NA,NA,NA,NA,NA,106,-30.8249,30.4884,"RAGGIE",1,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0090",2003,6,20,NA,"06/20","NORTH","Protea_pinnacles",1,1,"15m","1.5-2",NA,NA,NA,NA,NA,NA,106,-30.8249,30.4884,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0090",2003,6,20,NA,"06/20","NORTH","Protea_pinnacles",1,1,"15m","1.5-2",NA,NA,NA,NA,NA,NA,106,-30.8249,30.4884,"BLACKTIP",1,"CARCHARHINUS LIMBATUS","UVC-S","ROLAND"
"D0093",2003,6,22,NA,"06/22","SOUTH","Protea_pinnacles",1,1,NA,NA,"5SW",NA,NA,NA,"1",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",12,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0094",2003,6,23,NA,"06/23","SOUTH","Protea_pinnacles",1,1,NA,NA,"15SW",NA,NA,NA,"2",NA,91,-30.8434,30.4771,"SHH",1,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0094",2003,6,23,NA,"06/23","SOUTH","Protea_pinnacles",1,1,NA,NA,"15SW",NA,NA,NA,"2",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0095",2003,6,24,NA,"06/24","NORTH","Protea_pinnacles",1,1,"20m",NA,"15SW",NA,NA,NA,NA,NA,106,-30.8249,30.4884,"ZAMBEZI / BULL",2,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0095",2003,6,24,NA,"06/24","NORTH","Protea_pinnacles",1,1,"20m",NA,"15SW",NA,NA,NA,NA,NA,106,-30.8249,30.4884,"RAGGIE",3,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0095",2003,6,24,NA,"06/24","NORTH","Protea_pinnacles",1,1,"20m",NA,"15SW",NA,NA,NA,NA,NA,106,-30.8249,30.4884,"BLACKTIP",1,"CARCHARHINUS LIMBATUS","UVC-S","ROLAND"
"D0099",2003,6,27,NA,"06/27","NORTH","Protea_pinnacles",1,1,"15m","1.5","5-10SW",NA,NA,NA,NA,NA,106,-30.8249,30.4884,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0103",2003,6,30,NA,"06/30","NORTH","Protea_pinnacles",1,1,"25m","0.5","10NE",NA,NA,NA,NA,NA,106,-30.8249,30.4884,"BLACKTIP",1,"CARCHARHINUS LIMBATUS","UVC-S","ROLAND"
"D0105",2003,7,1,NA,"07/01","NORTH","Protea_pinnacles",1,1,"15m",NA,NA,NA,"22",NA,"2",NA,106,-30.8249,30.4884,"ZAMBEZI / BULL",2,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0106",2003,7,2,NA,"07/02","NORTH","Protea_pinnacles",1,1,"15m",NA,"25-35SW",NA,NA,NA,"2",NA,106,-30.8249,30.4884,"ZAMBEZI / BULL",2,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0106",2003,7,2,NA,"07/02","NORTH","Protea_pinnacles",1,1,"15m",NA,"25-35SW",NA,NA,NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",24,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0107",2003,7,3,NA,"07/03","NORTH","Protea_pinnacles",1,1,"15m",NA,NA,"cold",NA,NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",19,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0108",2003,7,4,NA,"07/04","NORTH","Protea_pinnacles",1,1,"15m",NA,"10-20SW","very cold",NA,NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",40,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0111",2003,7,7,NA,"07/07","NORTH","Protea_pinnacles",1,1,"15m",NA,NA,NA,"22",NA,NA,NA,106,-30.8249,30.4884,"RAGGIE",3,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0113",2003,7,8,NA,"07/08","NORTH","Protea_pinnacles",1,1,"15m","reverse",NA,NA,"22",NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",4,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0114",2003,7,9,NA,"07/09","NORTH","Protea_pinnacles",1,1,"15m",NA,"15NE",NA,"22",NA,"2",NA,106,-30.8249,30.4884,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0114",2003,7,9,NA,"07/09","NORTH","Protea_pinnacles",1,1,"15m",NA,"15NE",NA,"22",NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",1,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0115",2003,7,10,NA,"07/10","NORTH","Protea_pinnacles",1,1,"15m","reverse",NA,NA,NA,NA,NA,NA,106,-30.8249,30.4884,"RAGGIE",10,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0117",2003,7,11,NA,"07/11","NORTH","Protea_pinnacles",1,1,"10m","reverse","15-20SW",NA,NA,NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",22,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0119",2003,7,13,NA,"07/13","NORTH","Protea_pinnacles",1,1,NA,NA,NA,NA,NA,NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",100,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0121",2003,7,15,NA,"07/15","NORTH","Protea_pinnacles",1,1,"10m",NA,"15NE",NA,"21",NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",40,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0122",2003,7,16,NA,"07/16","NORTH","Protea_pinnacles",1,1,"20m",NA,NA,NA,"20",NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",60,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0123",2003,7,17,NA,"07/17","NORTH","Protea_pinnacles",1,1,"10m",NA,NA,NA,NA,NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",125,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0124",2003,7,18,NA,"07/18","NORTH","Protea_pinnacles",1,1,"20m",NA,NA,"18",NA,NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",160,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0126",2003,7,20,NA,"07/20","NORTH","Protea_pinnacles",1,1,NA,NA,"25SW",NA,NA,NA,"1",NA,106,-30.8249,30.4884,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0127",2003,7,21,NA,"07/21","NORTH","Protea_pinnacles",1,1,"10m",NA,"10-15SW",NA,"20",NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",40,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0128",2003,7,22,NA,"07/22","NORTH","Protea_pinnacles",1,1,"10m",NA,"10-15SW",NA,"19",NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",40,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0129",2003,7,23,NA,"07/23","NORTH","Protea_pinnacles",1,1,"12m",NA,"10NE",NA,NA,NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",100,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0149",2003,9,4,NA,"09/04","NORTH","Protea_pinnacles",1,1,"25m","2",NA,NA,NA,NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",5,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0152",2003,9,7,NA,"09/07","NORTH","Protea_pinnacles",1,1,"7m",NA,NA,NA,NA,NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",10,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0154",2003,9,9,NA,"09/09","NORTH","Protea_pinnacles",1,1,NA,NA,"SW",NA,NA,NA,NA,NA,106,-30.8249,30.4884,"RAGGIE",15,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0155",2003,9,10,NA,"09/10","NORTH","Protea_pinnacles",1,1,NA,NA,NA,NA,NA,NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",15,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0160",2003,9,19,NA,"09/19","NORTH","Protea_pinnacles",1,1,"5m",NA,NA,NA,"18",NA,NA,NA,106,-30.8249,30.4884,"RAGGIE",20,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0162",2003,9,20,NA,"09/20","NORTH","Protea_pinnacles",1,1,"3m",NA,NA,NA,"18-20",NA,NA,NA,106,-30.8249,30.4884,"RAGGIE",6,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0164",2003,9,21,NA,"09/21","NORTH","Protea_pinnacles",1,1,"8m",NA,"10SW",NA,"19",NA,"4",NA,106,-30.8249,30.4884,"RAGGIE",10,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0164",2003,9,21,NA,"09/21","NORTH","Protea_pinnacles",1,1,"8m",NA,"10SW",NA,"19",NA,"4",NA,106,-30.8249,30.4884,"BLACKTIP",2,"CARCHARHINUS LIMBATUS","UVC-S","ROLAND"
"D0165",2003,9,22,NA,"09/22","NORTH","Protea_pinnacles",1,1,"10m",NA,"15SW",NA,"19",NA,"1",NA,106,-30.8249,30.4884,"SHH",1,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0165",2003,9,22,NA,"09/22","NORTH","Protea_pinnacles",1,1,"10m",NA,"15SW",NA,"19",NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",15,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0166",2003,9,23,NA,"09/23","NORTH","Protea_pinnacles",1,1,"10m",NA,"15NE",NA,"19",NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",50,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0166",2003,9,23,NA,"09/23","NORTH","Protea_pinnacles",1,1,"10m",NA,"15NE",NA,"19",NA,"2",NA,106,-30.8249,30.4884,"BLACKTIP",1,"CARCHARHINUS LIMBATUS","UVC-S","ROLAND"
"D0167",2003,9,24,NA,"09/24","NORTH","Protea_pinnacles",1,1,"15m",NA,"10SW",NA,"20",NA,"2",NA,106,-30.8249,30.4884,"RAGGIE",20,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0168",2003,9,25,NA,"09/25","NORTH","Protea_pinnacles",1,1,"20m","0.5",NA,NA,NA,NA,"1",NA,106,-30.8249,30.4884,"SHH",50,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0168",2003,9,25,NA,"09/25","NORTH","Protea_pinnacles",1,1,"20m","0.5",NA,NA,NA,NA,"1",NA,106,-30.8249,30.4884,"RAGGIE",10,"CARCHARIAS TAURUS","UVC-S","ROLAND"
"D0168",2003,9,25,NA,"09/25","NORTH","Protea_pinnacles",1,1,"20m","0.5",NA,NA,NA,NA,"1",NA,106,-30.8249,30.4884,"BLACKTIP",30,"CARCHARHINUS LIMBATUS","UVC-S","ROLAND"
