"FULL_NAME","ANIMAL_ID","CAPDATE","SPECIES","SPECIES_COMMON","SPECIES_SCIENTIFIC","SEX","FLEN","CATCH_COND","CATCH CONDITION","FATE CODE","FATE","NET","DAY","MONTH","YEAR","BEACH","CODE","LATITUDE","LONGITUDE","...9","...11","OWNER","DATATYPE"
"MARGATE","S_M.G15021",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","M",1670,"1","ALIVE","1","TAGGED & RELEASED","02","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15019",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",1750,"1","ALIVE","1","TAGGED & RELEASED","02","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15020",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2000,"1","ALIVE","1","TAGGED & RELEASED","02","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G16002",2016-07-18,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","M",2000,"1","ALIVE","1","TAGGED & RELEASED","01","18","07","2016","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15005",2015-05-08,"S_TIG","TIGER SHARK","GALEOCERDO CUVIER","M",2000,"1","ALIVE","1","TAGGED & RELEASED","01","08","05","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17017",2017-11-30,"S_TIG","TIGER SHARK","GALEOCERDO CUVIER","M",2000,"1","ALIVE","1","TAGGED & RELEASED","2","30","11","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G15001",2015-01-06,"H_ANG","AFR. ANGELSHARK","SQUATINA AFRICANA","F",650,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","02","06","01","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G17005",2017-05-22,"H_ANG","AFR. ANGELSHARK","SQUATINA AFRICANA","F",600,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","2","22","05","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G15005",2015-08-05,"H_BUL","BULLRAY","PTEROMYLAEUS BOVINUS","F",400,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","02","05","08","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G17003",2017-04-13,"H_MAN","UNID. MANTA","MANTA SP.","U",3500,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","3","13","04","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G18001",2018-02-27,"H_MAN","UNID. MANTA","MANTA SP.","F",1200,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","02","27","02","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G18002",2018-03-01,"H_MAN","UNID. MANTA","MANTA SP.","U",3000,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","02","01","03","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17011",2017-10-18,"S_BLA","BLACKTIP SHARK","CARCHARHINUS LIMBATUS","M",1200,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","2","18","10","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17012",2017-11-15,"S_RAG","RAGGEDTOOTH SHARK","CARCHARIAS TAURUS","F",2000,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","2","15","11","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17013",2017-11-15,"S_RAG","RAGGEDTOOTH SHARK","CARCHARIAS TAURUS","F",2300,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","2","15","11","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15002",2015-04-07,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","F",1700,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","03","07","04","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G19005",2019-03-28,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","F",1700,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","02","28","03","2019","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G19006",2019-03-28,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","F",2000,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","02","28","03","2019","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G15008",2015-12-30,"H_DSF","SHORTHORN DEVILRAY","MOBULA KUHLII","F",900,"2","DEAD BUT FRESH","3","SENT TO HQ","01","30","12","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G15002",2015-03-03,"H_EAG","EAGLERAY","MYLIOBATIS AQUILA","F",510,"2","DEAD BUT FRESH","3","SENT TO HQ","04","03","03","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G16001",2016-04-04,"H_SPE","SPOTTED EAGLE RAY","AETOBATUS NARINARI","M",1200,"2","DEAD BUT FRESH","3","SENT TO HQ","02","04","04","2016","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G16004",2016-07-20,"S_BLA","BLACKTIP SHARK","CARCHARHINUS LIMBATUS","M",1650,"2","DEAD BUT FRESH","3","SENT TO HQ","01","20","07","2016","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15016",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","M",1620,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15006",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","M",1660,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15009",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",1710,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15014",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",1900,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15017",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","M",1970,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15015",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2080,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15012",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2140,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15010",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2170,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15008",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2270,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15007",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2640,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15011",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2640,"2","DEAD BUT FRESH","3","SENT TO HQ","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G18007",2018-10-05,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2610,"2","DEAD BUT FRESH","3","SENT TO HQ","02","05","10","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15028",2015-08-21,"S_GRE","GREAT WHITE","CARCHARODON CARCHARIAS","F",2290,"2","DEAD BUT FRESH","3","SENT TO HQ","01","21","08","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G16006",2016-11-15,"S_RAG","RAGGEDTOOTH SHARK","CARCHARIAS TAURUS","F",2040,"2","DEAD BUT FRESH","3","SENT TO HQ","03","15","11","2016","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17010",2017-10-16,"S_RAG","RAGGEDTOOTH SHARK","CARCHARIAS TAURUS","F",2000,"2","DEAD BUT FRESH","3","SENT TO HQ","3","16","10","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G18002",2018-02-26,"S_RAG","RAGGEDTOOTH SHARK","CARCHARIAS TAURUS","F",1770,"2","DEAD BUT FRESH","3","SENT TO HQ","01","26","02","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G16007",2016-11-23,"S_SCA","SCALLOPED HAMMERHEAD","SPHYRNA LEWINI","M",1490,"2","DEAD BUT FRESH","3","SENT TO HQ","03","23","11","2016","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17008",2017-09-11,"S_SCA","SCALLOPED HAMMERHEAD","SPHYRNA LEWINI","M",1150,"2","DEAD BUT FRESH","3","SENT TO HQ","3","11","09","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17015",2017-11-30,"S_SCA","SCALLOPED HAMMERHEAD","SPHYRNA LEWINI","M",1110,"2","DEAD BUT FRESH","3","SENT TO HQ","2","30","11","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17018",2017-12-01,"S_SCA","SCALLOPED HAMMERHEAD","SPHYRNA LEWINI","F",1050,"2","DEAD BUT FRESH","3","SENT TO HQ","2","01","12","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G19013",2019-11-20,"S_SCA","SCALLOPED HAMMERHEAD","SPHYRNA LEWINI","M",1500,"2","DEAD BUT FRESH","3","SENT TO HQ","03","20","11","2019","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15003",2015-04-20,"S_SMO","SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA","M",920,"2","DEAD BUT FRESH","3","SENT TO HQ","01","20","04","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G18004",2018-02-26,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","F",1780,"2","DEAD BUT FRESH","3","SENT TO HQ","02","26","02","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G19003",2019-03-27,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","F",1730,"2","DEAD BUT FRESH","3","SENT TO HQ","02","27","03","2019","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G19004",2019-03-27,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","M",1760,"2","DEAD BUT FRESH","3","SENT TO HQ","03","27","03","2019","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G19002",2019-03-27,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","M",2050,"2","DEAD BUT FRESH","3","SENT TO HQ","02","27","03","2019","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17016",2017-11-30,"S_TIG","TIGER SHARK","GALEOCERDO CUVIER","F",1300,"2","DEAD BUT FRESH","3","SENT TO HQ","2","30","11","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G18008",2018-10-05,"S_TIG","TIGER SHARK","GALEOCERDO CUVIER","M",1860,"2","DEAD BUT FRESH","3","SENT TO HQ","02","05","10","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G18005",2018-05-14,"H_ANG","AFR. ANGELSHARK","SQUATINA AFRICANA","F",650,"2","DEAD BUT FRESH","5","NO DATA/DUMPED","02","14","05","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15023",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2200,"4","ROTTEN","5","NO DATA/DUMPED","02","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15024",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2200,"4","ROTTEN","5","NO DATA/DUMPED","02","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15025",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2200,"4","ROTTEN","5","NO DATA/DUMPED","02","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15026",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2200,"4","ROTTEN","5","NO DATA/DUMPED","02","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17004",2017-05-29,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",1800,"4","ROTTEN","5","NO DATA/DUMPED","3","29","05","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G19007",2019-04-25,"S_GRE","GREAT WHITE","CARCHARODON CARCHARIAS","M",2200,"4","ROTTEN","5","NO DATA/DUMPED","01","25","04","2019","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15001",2015-03-03,"S_SCA","SCALLOPED HAMMERHEAD","SPHYRNA LEWINI","U",1200,"4","ROTTEN","5","NO DATA/DUMPED","01","03","03","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G18005",2018-02-28,"S_SCA","SCALLOPED HAMMERHEAD","SPHYRNA LEWINI","F",1200,"4","ROTTEN","5","NO DATA/DUMPED","02","28","02","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G18009",2018-12-31,"S_SCA","SCALLOPED HAMMERHEAD","SPHYRNA LEWINI","M",850,"4","ROTTEN","5","NO DATA/DUMPED","03","31","12","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G19001",2019-03-27,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","M",1850,"4","ROTTEN","5","NO DATA/DUMPED","01","27","03","2019","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15027",2015-08-11,"S_TIG","TIGER SHARK","GALEOCERDO CUVIER","F",1400,"4","ROTTEN","5","NO DATA/DUMPED","03","11","08","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G16003",2016-07-18,"S_SMO","SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA","M",1000,"6","SCAVENGED REMAINS","5","NO DATA/DUMPED","01","18","07","2016","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15013",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","M",1640,"2","DEAD BUT FRESH","6","EXHIBITION","03","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G18001",2018-02-21,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",2000,"2","DEAD BUT FRESH","7","LEFT AS BAIT","01","21","02","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G18003",2018-02-26,"S_SCA","SCALLOPED HAMMERHEAD","SPHYRNA LEWINI","F",1060,"2","DEAD BUT FRESH","7","LEFT AS BAIT","02","26","02","2018","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"RAMSGATE","S_RAM15007",2015-12-08,"S_GRE","GREAT WHITE","CARCHARODON CARCHARIAS","M",1810,"1","ALIVE","1","TAGGED & RELEASED","01","08","12","2015","RAM",35,-30.89106389,30.35292778,NA,NA,"KZNSB","NETS_DRUMLINES"
"RAMSGATE","S_RAM16003",2016-03-08,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","F",1940,"1","ALIVE","1","TAGGED & RELEASED","02","08","03","2016","RAM",35,-30.89106389,30.35292778,NA,NA,"KZNSB","NETS_DRUMLINES"
"RAMSGATE","S_RAM16004",2016-03-09,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","M",1910,"1","ALIVE","1","TAGGED & RELEASED","02","09","03","2016","RAM",35,-30.89106389,30.35292778,NA,NA,"KZNSB","NETS_DRUMLINES"
"RAMSGATE","S_RAM18002",2018-07-17,"S_TIG","TIGER SHARK","GALEOCERDO CUVIER","F",1800,"1","ALIVE","1","TAGGED & RELEASED","02","17","07","2018","RAM",35,-30.89106389,30.35292778,NA,NA,"KZNSB","NETS_DRUMLINES"
"RAMSGATE","H_RAM17001",2017-02-16,"H_ANG","AFR. ANGELSHARK","SQUATINA AFRICANA","M",610,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","1","16","02","2017","RAM",35,-30.89106389,30.35292778,NA,NA,"KZNSB","NETS_DRUMLINES"
"RAMSGATE","H_RAM15001",2015-01-09,"H_DIA","DIAMONDRAY","GYMNURA NATALENSIS","M",1150,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","01","09","01","2015","RAM",35,-30.89106389,30.35292778,NA,NA,"KZNSB","NETS_DRUMLINES"
"RAMSGATE","S_RAM16010",2016-07-28,"S_SAN","SANDBAR SHARK","CARCHARHINUS PLUMBEUS","U",NA,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","01","28","07","2016","RAM",35,-30.89106389,30.35292778,NA,NA,"KZNSB","NETS_DRUMLINES"
"RAMSGATE","S_RAM15003",2015-05-18,"S_TIG","TIGER SHARK","GALEOCERDO CUVIER","F",1800,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","02","18","05","2015","RAM",35,-30.89106389,30.35292778,NA,NA,"KZNSB","NETS_DRUMLINES"
"RAMSGATE","S_RAM18003",2018-11-19,"S_TIG","TIGER SHARK","GALEOCERDO CUVIER","M",1800,"1","ALIVE","2","LOST OR RELEASED (NOT TAGGED)","01","19","11","2018","RAM",35,-30.89106389,30.35292778,NA,NA,"KZNSB","NETS_DRUMLINES"
"RAMSGATE","H_RAM18002",2018-02-08,"H_ANG","AFR. ANGELSHARK","SQUATINA AFRICANA","M",680,"2","DEAD BUT FRESH","3","SENT TO HQ","02","08","02","2018","RAM",35,-30.89106389,30.35292778,NA,NA,"KZNSB","NETS_DRUMLINES"
