"SPECIES_COMMON","SPECIES_SCIENTIFIC","QUANTITY","DATE","TYPE","LOCATION","LATITUDE","LONGITUDE","YEAR","MONTH","DAY","DATATYPE"
"SPEARNOSE SKATE","ROSTRORAJA ALBA",1,"44056","Angling","Gordon's Bay",-34.17181,18.83978,2020,8,13,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44079","Angling","Port St Johns",-31.637735,29.5528,2020,9,5,"LINEFISHING"
"COMMON SMOOTHHOUND","MUSTELUS MUSTELUS",1,"44080","Angling","Mosselbay",-34.179043,22.151832,2020,9,6,"LINEFISHING"
"SHORTFIN MAKO SHARK","ISURUS OXYRINCHUS",1,"44086","Angling","Umhlanga lagoon",-29.713199,31.096253,2020,9,12,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44103","Angling","Sundays river",-33.728242,25.84393,2020,9,29,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",15,"44111","Angling","Kariega mouth",-33.68386,26.682066,2020,10,7,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44114","Angling","St Francis",-34.141957,24.845628,2020,10,10,"LINEFISHING"
"COMMON SMOOTHHOUND","MUSTELUS MUSTELUS",1,"44114","Angling","Strand slip, False Bay",-34.11328,18.82686,2020,10,10,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",2,"44119","Angling","Skurwe bankies, Mosselbay",-34.179043,22.151832,2020,10,15,"LINEFISHING"
"COMMON SMOOTHHOUND","MUSTELUS MUSTELUS",1,"44121","Angling","Strand",-34.106563,18.816964,2020,10,17,"LINEFISHING"
"GREAT HAMMERHEAD","SPHYRNA MOKARRAN",1,"44128","Angling","Poenskop, KZN south",-31.595529,29.60732,2020,10,24,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44131","Angling","Blue Water Bay",-33.861918,25.636177,2020,10,27,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44136","Angling","Mossel Bay",-34.179043,22.151832,2020,11,1,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44140","Angling","Plaat, Struisbaai",-34.769649,20.050928,2020,11,5,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44140","Angling","Franskraal, Gansbaai",-34.615031,19.384643,2020,11,5,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44149","Angling","St. Francis",-34.141957,24.845628,2020,11,14,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44150","Angling","Hlabane, Zululand",-28.666211,32.253638,2020,11,15,"LINEFISHING"
"SCALLOPED HAMMERHEAD SHARK","SPHYRNA LEWINI",1,"44150","Angling","Winklespruit",-30.109148,30.855643,2020,11,15,"LINEFISHING"
"SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA",1,"44150","Angling","Winklespruit",-30.109148,30.855643,2020,11,15,"LINEFISHING"
"BLOTCHED FANTAIL RAY","TAENIUROPS MEYENI",1,"44150","Angling","Winklespruit",-30.109148,30.855643,2020,11,15,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44152","Angling","Port Alfred",-33.606067,26.899388,2020,11,17,"LINEFISHING"
"BLOTCHED FANTAIL RAY","TAENIUROPS MEYENI",1,"44153","Angling","Warner beach",-30.080431,30.871759,2020,11,18,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44156","Angling","Kleinkrantz",-34.005465,22.648868,2020,11,21,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44156","Angling","Kleinkrantz, Wilderness",-34.005295,22.647391,2020,11,21,"LINEFISHING"
"COMMON SMOOTHHOUND","MUSTELUS MUSTELUS",24,"44156","Angling","Langebaan Lagoon",-33.086198,18.028113,2020,11,21,"LINEFISHING"
"GIANT GUITARFISH","RHYNCHOBATUS DJIDDENSIS",1,"44156","Angling","Hlabane, Zululand",-28.666211,32.253638,2020,11,21,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44157","Angling","Skurwe bankies, Mosselbay",-34.179043,22.151832,2020,11,22,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44157","Angling","Van Stadens Mouth, Port Elizabeth",-33.970876,25.219671,2020,11,22,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44157","Angling","Kleinkrantz, Wilderness",-34.005295,22.647391,2020,11,22,"LINEFISHING"
"COMMON SMOOTHHOUND","MUSTELUS MUSTELUS",2,"44161","Angling","Boggomsbaai",-34.266647,21.914663,2020,11,26,"LINEFISHING"
"SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA",1,"44161","Angling","Skurwe bankies, Mosselbay",-34.179043,22.151832,2020,11,26,"LINEFISHING"
"SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA",1,"44169","Angling","Skurwe bankies, Mosselbay",-34.179043,22.151832,2020,12,4,"LINEFISHING"
"LESSER GUITARFISH","ACROTERIOBATUS ANNULATUS",1,"44170","Angling","Soverby, Veldrift",-32.713524,18.200401,2020,12,5,"LINEFISHING"
"COMMON SMOOTHHOUND","MUSTELUS MUSTELUS",1,"44174","Angling","Knysna Lagoon",-34.070909,23.054143,2020,12,9,"LINEFISHING"
"COMMON SMOOTHHOUND","MUSTELUS MUSTELUS",1,"44175","Angling","Langebaan",-33.086198,18.028113,2020,12,10,"LINEFISHING"
"COMMON SMOOTHHOUND","MUSTELUS MUSTELUS",1,"44176","Angling","Strand Pavilion",-34.11939,18.826398,2020,12,11,"LINEFISHING"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"44178","Angling","Struisbaai",-34.769649,20.050928,2020,12,13,"LINEFISHING"
"LESSER GUITARFISH","ACROTERIOBATUS ANNULATUS",1,"44186","Angling","Blue Horizon Bay, Port Elizabeth",-33.978915,25.256928,2020,12,21,"LINEFISHING"
"LESSER GUITARFISH","ACROTERIOBATUS ANNULATUS",1,"44193","Angling","Sundays river",-33.724526,25.865607,2020,12,28,"LINEFISHING"
