"speciesrange","area_km2","perc_in_area","range_in_area","CUR_NME","SPECIES_SCIENTIFIC","type"
18800,1126.75324,0.0540163555832474,1015.50748496505,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS LIMBATUS","iucn"
1016500,1126.75324,0.000890380426723519,905.071703764457,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS LONGIMANUS","iucn"
700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS MELANOPTERUS","iucn"
290000,1126.75324,0.00312093690953261,905.071703764457,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS OBSCURUS","iucn"
8700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS PLUMBEUS","iucn"
3100,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS SORRAH","iucn"
152600,1126.75324,0.00665470173633716,1015.50748496505,"Addo Elephant National Park Marine Protected Area","CARCHARIAS TAURUS","iucn"
1041600,1126.75324,0.000868924446778473,905.071703764457,"Addo Elephant National Park Marine Protected Area","CARCHARODON CARCHARIAS","iucn"
46800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CENTROPHORUS GRANULOSUS","iucn"
17800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CENTROPHORUS MOLUCCENSIS","iucn"
294100,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CENTROPHORUS SQUAMOSUS","iucn"
76600,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CENTROPHORUS UYATO","iucn"
118800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CENTROSCYLLIUM FABRICII","iucn"
112900,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CENTROSCYMNUS COELOLEPIS","iucn"
101900,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CENTROSCYMNUS OWSTONII","iucn"
126000,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CENTROSELACHUS CREPIDATER","iucn"
2500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CEPHALOSCYLLIUM SUFFLANS","iucn"
568100,1126.75324,0.00123096407827846,699.310692869996,"Addo Elephant National Park Marine Protected Area","CETORHINUS MAXIMUS","iucn"
12400,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CHIMAERA NOTAFRICANA","iucn"
43300,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CHLAMYDOSELACHUS AFRICANA","iucn"
56800,1126.75324,0.00113035958106477,64.2044242044788,"Addo Elephant National Park Marine Protected Area","CIRRHIGALEUS ASPER","iucn"
17500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CRURIRAJA DURBANENSIS","iucn"
185100,1126.75324,0.00120478034255599,223.004841407113,"Addo Elephant National Park Marine Protected Area","CRURIRAJA HULLEYI","iucn"
10100,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CRURIRAJA PARCOMACULATA","iucn"
104300,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","DALATIAS LICHA","iucn"
45000,1126.75324,0.0195615555627693,880.270000324617,"Addo Elephant National Park Marine Protected Area","DASYATIS CHRYSONOTA","iucn"
246700,1126.75324,0.000314429502814538,77.5697583443466,"Addo Elephant National Park Marine Protected Area","DEANIA CALCEA","iucn"
13100,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","DEANIA PROFUNDORUM","iucn"
400,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","DEANIA QUADRISPINOSA","iucn"
2800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","DIPTURUS CAMPBELLI","iucn"
128100,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","DIPTURUS DOUTREI","iucn"
4800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","DIPTURUS LANCEOROSTRATUS","iucn"
183700,1126.75324,0.0036369060323416,668.099638141152,"Addo Elephant National Park Marine Protected Area","DIPTURUS PULLOPUNCTATUS","iucn"
231700,1126.75324,0.000115115758418138,26.6723212254827,"Addo Elephant National Park Marine Protected Area","DIPTURUS SPRINGERI","iucn"
3700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","DIPTURUS STENORHYNCHUS","iucn"
246500,1126.75324,0.00367169048180307,905.071703764457,"Addo Elephant National Park Marine Protected Area","ECHINORHINUS BRUCUS","iucn"
700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ELECTROLUX ADDISONI","iucn"
800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ERIDACNIS SINUANS","iucn"
240900,1126.75324,0.00170154028890854,409.901055598068,"Addo Elephant National Park Marine Protected Area","ETMOPTERUS BIGELOWI","iucn"
71200,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ETMOPTERUS COMPAGNOI","iucn"
441700,1126.75324,0.00204906430555684,905.071703764457,"Addo Elephant National Park Marine Protected Area","ETMOPTERUS LUCIFER","iucn"
276500,1126.75324,0.00327331538431992,905.071703764457,"Addo Elephant National Park Marine Protected Area","ETMOPTERUS PUSILLUS","iucn"
91400,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ETMOPTERUS SCULPTUS","iucn"
5500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ETMOPTERUS SENTOSUS","iucn"
47500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ETMOPTERUS VIATOR","iucn"
104000,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","EUPROTOMICROIDES ZANTEDESCHIA","iucn"
197700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","EUPROTOMICRUS BISPINATUS","iucn"
137800,1126.75324,0.00656800946128053,905.071703764457,"Addo Elephant National Park Marine Protected Area","GALEOCERDO CUVIER","iucn"
209600,1126.75324,0.00419976145193042,880.270000324617,"Addo Elephant National Park Marine Protected Area","GALEORHINUS GALEUS","iucn"
32700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","GALEUS POLLI","iucn"
26700,1126.75324,0.0324704425332068,866.960815636622,"Addo Elephant National Park Marine Protected Area","GYMNURA NATALENSIS","iucn"
9500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HALAELURUS LINEATUS","iucn"
68200,1126.75324,0.0129071847554929,880.270000324617,"Addo Elephant National Park Marine Protected Area","HALAELURUS NATALENSIS","iucn"
60800,1126.75324,0.0144781250053391,880.270000324617,"Addo Elephant National Park Marine Protected Area","HAPLOBLEPHARUS EDWARDSII","iucn"
4100,1126.75324,0.131998840103798,541.195244425573,"Addo Elephant National Park Marine Protected Area","HAPLOBLEPHARUS FUSCUS","iucn"
4800,1126.75324,0.117916030805295,565.996947865415,"Addo Elephant National Park Marine Protected Area","HAPLOBLEPHARUS KISTNASAMYI","iucn"
7200,1126.75324,0.0751660061702185,541.195244425573,"Addo Elephant National Park Marine Protected Area","HAPLOBLEPHARUS PICTUS","iucn"
36400,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HARRIOTTA RALEIGHANA","iucn"
49000,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HEMIPRISTIS ELONGATA","iucn"
177600,1126.75324,0.00509612445813321,905.071703764457,"Addo Elephant National Park Marine Protected Area","HEPTRANCHIAS PERLO","iucn"
11000,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HETERODONTUS RAMALHEIRA","iucn"
11600,1126.75324,0.00114734350740472,13.3091846858947,"Addo Elephant National Park Marine Protected Area","HETERONARCE GARMANI","iucn"
143100,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HETEROSCYMNOIDES MARLEYI","iucn"
263900,1126.75324,0.00342960099948639,905.071703764457,"Addo Elephant National Park Marine Protected Area","HEXANCHUS GRISEUS","iucn"
6900,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HEXANCHUS NAKAMURAI","iucn"
325900,1126.75324,0.0027771454549385,905.071703764457,"Addo Elephant National Park Marine Protected Area","HEXATRYGON BICKELLI","iucn"
5700,1126.75324,0.0694603115195335,395.923775661341,"Addo Elephant National Park Marine Protected Area","HIMANTURA UARNAK","iucn"
600,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HOLOALAELURUS PUNCTATUS","iucn"
10200,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HOLOHALAELURUS FAVUS","iucn"
600,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HOLOHALAELURUS PUNCTATUS","iucn"
247100,1126.75324,0.00270376219401518,668.099638141152,"Addo Elephant National Park Marine Protected Area","HOLOHALAELURUS REGANI","iucn"
120500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HYDROLAGUS AFFINIS","iucn"
32900,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HYDROLAGUS AFRICANUS","iucn"
99900,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","HYPOGALEUS HYUGAENSIS","iucn"
857200,1126.75324,0.001055846597952,905.071703764457,"Addo Elephant National Park Marine Protected Area","ISURUS OXYRINCHUS","iucn"
1002600,1126.75324,0.000902724619753099,905.071703764457,"Addo Elephant National Park Marine Protected Area","ISURUS PAUCUS","iucn"
999100,1126.75324,0.000905887002066317,905.071703764457,"Addo Elephant National Park Marine Protected Area","LAMNA NASUS","iucn"
8500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","LEUCORAJA COMPAGNOI","iucn"
187000,1126.75324,0.0000711721106197578,13.3091846858947,"Addo Elephant National Park Marine Protected Area","LEUCORAJA WALLACEI","iucn"
300,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","LOXODON MACRORHINUS","iucn"
31700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","MALACORAJA SPINACIDERMIS","iucn"
1041600,1126.75324,0.000868924446778473,905.071703764457,"Addo Elephant National Park Marine Protected Area","MEGACHASMA PELAGIOS","iucn"
304400,1126.75324,0.0029732973185429,905.071703764457,"Addo Elephant National Park Marine Protected Area","MITSUKURINA OWSTONI","iucn"
222300,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","MOBULA ALFREDI","iucn"
199500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","MOBULA BIROSTRIS","iucn"
131200,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","MOBULA EREGOODOO","iucn"
226800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","MOBULA KUHLII","iucn"
290000,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","MOBULA MOBULAR","iucn"
1041600,1126.75324,0.000868924446778473,905.071703764457,"Addo Elephant National Park Marine Protected Area","MOBULA TARAPACANA","iucn"
1041600,1126.75324,0.000868924446778473,905.071703764457,"Addo Elephant National Park Marine Protected Area","MOBULA THURSTONI","iucn"
14500,1126.75324,0.0203913414820587,295.674451489851,"Addo Elephant National Park Marine Protected Area","MUSTELUS MOSIS","iucn"
192300,1126.75324,0.0052808501558245,1015.50748496505,"Addo Elephant National Park Marine Protected Area","MUSTELUS MUSTELUS","iucn"
205800,1126.75324,0.00427730806766092,880.270000324617,"Addo Elephant National Park Marine Protected Area","MUSTELUS PALUMBES","iucn"
175300,1126.75324,0.00502150599158367,880.270000324617,"Addo Elephant National Park Marine Protected Area","MYLIOBATIS AQUILA","iucn"
86900,1126.75324,0.0101296893017792,880.270000324617,"Addo Elephant National Park Marine Protected Area","NARKE CAPENSIS","iucn"
6100,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","NEBRIUS FERRUGINEUS","iucn"
32600,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","NEGAPRION ACUTIDENS","iucn"
109800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","NEORAJA STEHMANNI","iucn"
175200,1126.75324,0.00516593438221722,905.071703764457,"Addo Elephant National Park Marine Protected Area","NOTORYNCHUS CEPEDIANUS","iucn"
77800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ODONTASPIS FEROX","iucn"
125000,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","OXYNOTUS CENTRINA","iucn"
44100,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","PATEOBATIS JENKINSII","iucn"
118800,1126.75324,0.00512754741884033,609.152633358231,"Addo Elephant National Park Marine Protected Area","PLIOTREMA WARRENI","iucn"
42200,1126.75324,0.0208594786806781,880.270000324617,"Addo Elephant National Park Marine Protected Area","PORODERMA AFRICANUM","iucn"
115400,1126.75324,0.00762798960419945,880.270000324617,"Addo Elephant National Park Marine Protected Area","PORODERMA PANTHERINUM","iucn"
1041600,1126.75324,0.000868924446778473,905.071703764457,"Addo Elephant National Park Marine Protected Area","PRIONACE GLAUCA","iucn"
6000,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","PRISTIS PRISTIS","iucn"
6300,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","PRISTIS ZIJSRON","iucn"
274600,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","PSEUDOCARCHARIAS KAMOHARAI","iucn"
168100,1126.75324,0.0000645839813208339,10.8565672600322,"Addo Elephant National Park Marine Protected Area","PTEROPLATYTRYGON VIOLACEA","iucn"
70200,1126.75324,0.000379947595804597,26.6723212254827,"Addo Elephant National Park Marine Protected Area","RAJA OCELLIFERA","iucn"
203000,1126.75324,0.000316277951746201,64.2044242044788,"Addo Elephant National Park Marine Protected Area","RAJA STRAELENI","iucn"
171100,1126.75324,0.005289723575479,905.071703764457,"Addo Elephant National Park Marine Protected Area","RAJA STRAELINI","iucn"
209000,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","RAJELLA BARNARDI","iucn"
206500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","RAJELLA CAUDASPINOSA","iucn"
70300,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","RAJELLA DISSIMILIS","iucn"
190700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","RAJELLA LEOPARDA","iucn"
21200,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","RAJELLA RAVIDULA","iucn"
5000,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","RHINA ANCYLOSTOMA","iucn"
729400,1126.75324,0.00124084412361456,905.071703764457,"Addo Elephant National Park Marine Protected Area","RHINCODON TYPUS","iucn"
6500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","RHINOBATOS AUSTINI","iucn"
5000,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","RHINOBATOS HOLCORHYNCHUS","iucn"
107600,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","RHINOCHIMAERA ATLANTICA","iucn"
1700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","RHIZOPRIONODON ACUTUS","iucn"
11800,1126.75324,0.0734712555624256,866.960815636622,"Addo Elephant National Park Marine Protected Area","RHYNCHOBATUS DJIDDENSIS","iucn"
265400,1126.75324,0.0034102174218706,905.071703764457,"Addo Elephant National Park Marine Protected Area","ROSTRORAJA ALBA","iucn"
202000,1126.75324,0.00318751354823195,643.877736742854,"Addo Elephant National Park Marine Protected Area","SCYLIORHINUS CAPENSIS","iucn"
8900,1126.75324,0.0231192147069584,205.76101089193,"Addo Elephant National Park Marine Protected Area","SCYLLIOGALEUS QUECKETTI","iucn"
35200,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","SOMNIOSUS ANTARCTICUS","iucn"
66900,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","SPHYRNA LEWINI","iucn"
86500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","SPHYRNA MOKARRAN","iucn"
286900,1126.75324,0.00315465912779525,905.071703764457,"Addo Elephant National Park Marine Protected Area","SPHYRNA ZYGAENA","iucn"
218400,1126.75324,0.00414410120771272,905.071703764457,"Addo Elephant National Park Marine Protected Area","SQUALUS ACANTHIAS","iucn"
6600,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","SQUALUS ACUTIPINNIS","iucn"
118700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","SQUALUS BASSI","iucn"
2100,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","SQUALUS BLAINVILLE","iucn"
15700,1126.75324,0.00169887396340654,26.6723212254827,"Addo Elephant National Park Marine Protected Area","SQUALUS MAHIA","iucn"
172300,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","SQUALUS MARGARETSMITHAE","iucn"
89400,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","SQUATINA AFRICANA","iucn"
127500,1126.75324,0.00709860159815261,905.071703764457,"Addo Elephant National Park Marine Protected Area","STEGOSTOMA TIGRINUM","iucn"
2500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","TAENIURA LYMMA","iucn"
34500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","TAENIUROPS MEYENI","iucn"
141300,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","TETRONARCE COWLEYI","iucn"
122900,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","TETRONARCE NOBILIANA","iucn"
147200,1126.75324,0.00598009511090093,880.270000324617,"Addo Elephant National Park Marine Protected Area","TORPEDO FUSCOMACULATA","iucn"
30800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","TORPEDO MARMORATA","iucn"
7500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","TORPEDO SINUSPERSICI","iucn"
1900,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","TRIAENODON OBESUS","iucn"
15400,1126.75324,0.0538574126563853,829.404154908334,"Addo Elephant National Park Marine Protected Area","TRIAKIS MEGALOPTERUS","iucn"
56600,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","UROGYMNUS ASPERRIMUS","iucn"
253800,1126.75324,0.00400121152468499,1015.50748496505,"Addo Elephant National Park Marine Protected Area","ZAMEUS SQUAMULOSUS","iucn"
24400,4313.19675,0.013022047363271,317.737955663813,"Agulhas Bank Complex Marine Protected Area","ACROTERIOBATUS ANNULATUS","iucn"
200,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","ACROTERIOBATUS BLOCHII","iucn"
7500,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","ACROTERIOBATUS LEUCOSPILUS","iucn"
46900,4313.19675,0.0205099184393175,961.915174803991,"Agulhas Bank Complex Marine Protected Area","ACROTERIOBATUS OCELLATUS","iucn"
105000,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","AETOBATUS OCELLATUS","iucn"
89900,4313.19675,0.0440682112029096,3961.73218714157,"Agulhas Bank Complex Marine Protected Area","AETOMYLAEUS BOVINUS","iucn"
337400,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","ALOPIAS PELAGICUS","iucn"
1041600,4313.19675,0.00414072524718308,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","ALOPIAS SUPERCILIOSUS","iucn"
983500,4313.19675,0.00438533748598464,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","ALOPIAS VULPINUS","iucn"
207900,4313.19675,0.0207454517434627,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","AMBLYRAJA HYPERBOREA","iucn"
4300,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","AMBLYRAJA ROBERTSI","iucn"
1500,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","ANACANTHOBATIS MARMORATA","iucn"
50500,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","APRISTURUS MICROPS","iucn"
39200,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","APRISTURUS SALDANHA","iucn"
55800,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","BATHYRAJA SMITHII","iucn"
122700,4313.19675,0.0351506064993145,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","BATHYTOSHIA BREVICAUDATA","iucn"
230400,4313.19675,0.0187195287216402,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","BATHYTOSHIA LATA","iucn"
173400,4313.19675,0.0248730070211413,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","CALLORHINCHUS CAPENSIS","iucn"
10600,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS ALBIMARGINATUS","iucn"
21200,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS ALTIMUS","iucn"
3400,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS AMBOINENSIS","iucn"
85800,4313.19675,0.0434895847011277,3731.40636735676,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS BRACHYURUS","iucn"
98000,4313.19675,0.0440099940557744,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS BREVIPINNA","iucn"
152100,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS FALCIFORMIS","iucn"
2700,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS HUMANI","iucn"
76000,4313.19675,0.0562986294703632,4278.6958397476,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS LEUCAS","iucn"
18800,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS LIMBATUS","iucn"
1016500,4313.19675,0.00424297040577068,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS LONGIMANUS","iucn"
700,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS MELANOPTERUS","iucn"
290000,4313.19675,0.0148723428188479,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS OBSCURUS","iucn"
8700,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS PLUMBEUS","iucn"
3100,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CARCHARHINUS SORRAH","iucn"
152600,4313.19675,0.028263298934901,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","CARCHARIAS TAURUS","iucn"
1041600,4313.19675,0.00414072524718308,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","CARCHARODON CARCHARIAS","iucn"
46800,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CENTROPHORUS GRANULOSUS","iucn"
17800,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CENTROPHORUS MOLUCCENSIS","iucn"
294100,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CENTROPHORUS SQUAMOSUS","iucn"
76600,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CENTROPHORUS UYATO","iucn"
118800,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CENTROSCYLLIUM FABRICII","iucn"
112900,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CENTROSCYMNUS COELOLEPIS","iucn"
101900,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CENTROSCYMNUS OWSTONII","iucn"
126000,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CENTROSELACHUS CREPIDATER","iucn"
2500,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CEPHALOSCYLLIUM SUFFLANS","iucn"
568100,4313.19675,0.00759193701366994,4312.97941746589,"Agulhas Bank Complex Marine Protected Area","CETORHINUS MAXIMUS","iucn"
12400,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CHIMAERA NOTAFRICANA","iucn"
43300,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CHLAMYDOSELACHUS AFRICANA","iucn"
56800,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CIRRHIGALEUS ASPER","iucn"
17500,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CRURIRAJA DURBANENSIS","iucn"
185100,4313.19675,0.0227557232035077,4212.08436496927,"Agulhas Bank Complex Marine Protected Area","CRURIRAJA HULLEYI","iucn"
10100,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","CRURIRAJA PARCOMACULATA","iucn"
104300,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","DALATIAS LICHA","iucn"
45000,4313.19675,0.0381872880050412,1718.42796022685,"Agulhas Bank Complex Marine Protected Area","DASYATIS CHRYSONOTA","iucn"
246700,4313.19675,0.0170747241803809,4212.33445529998,"Agulhas Bank Complex Marine Protected Area","DEANIA CALCEA","iucn"
13100,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","DEANIA PROFUNDORUM","iucn"
400,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","DEANIA QUADRISPINOSA","iucn"
2800,4313.19675,0,0,"Agulhas Bank Complex Marine Protected Area","DIPTURUS CAMPBELLI","iucn"
